"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"87647e5cd9771aeb187b6990f4f8552b","Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","midas_g_33802","midas_s_45259"
"bb75d730a668aef142c45ad907a6fbb3","Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","midas_g_33802","midas_s_45259"
"4bbfb757f297b48728300a5eca5423d0","Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","midas_g_1097","midas_s_1097"
"7c7f65eea2ace1d807054e24df323726","Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","midas_g_1097","midas_s_1097"
"afd2043983259fc517b59d25fb014cd6","Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","midas_g_1097",NA
"1a80aab8b1f79e352aa889f588fdb24b","Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","midas_g_5167","midas_s_40709"
"a021b0e90b3531c758aee729c53297b8","Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","midas_g_5167","midas_s_31032"
"f62fe09052ba350bf6a2cf3bcc56e827","Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","midas_g_1097",NA
"44d3ca94b0c021bfef0ce1d6f9974003","Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","midas_g_2781","midas_s_2781"
"97f46005ed9120707814015f4318f9c8","Bacteria","Planctomycetota","Planctomycetes","midas_o_1071","midas_f_1071","midas_g_15272",NA
"240b065619f4bd1ca7a9748c1dc4bca1","Bacteria","Planctomycetota","Planctomycetes","midas_o_1071","midas_f_1071","midas_g_7408","midas_s_38930"
"1ac397e618f6b295504e990ac0ff9999","Bacteria","Planctomycetota","Planctomycetes","midas_o_1071","midas_f_1071","midas_g_39032","midas_s_81272"
"28408ddd1a806444605bc05518dfca92","Bacteria","Planctomycetota","Planctomycetes","Isosphaerales","Isosphaeraceae","Singulisphaera","midas_s_7181"
"d3c614645f612f5d9ef9845541b5f878","Bacteria","Planctomycetota","Planctomycetes","Isosphaerales","Isosphaeraceae","Tundrisphaera","midas_s_67342"
"ec76e948793865cf791aa6c2ad8f3779","Bacteria","Planctomycetota","Planctomycetes","Isosphaerales","Isosphaeraceae","Tundrisphaera","midas_s_67342"
"cae10299c6c317c949110804f0df6949","Bacteria","Planctomycetota","Planctomycetes","Isosphaerales","Isosphaeraceae","Singulisphaera","midas_s_7181"
"62bcc5cfb45ce60b912e221203bc11a8","Bacteria","Planctomycetota","Planctomycetes","Isosphaerales","Isosphaeraceae","Singulisphaera","midas_s_7181"
"1de6c276eeb78b61682460e0a05172ff","Bacteria","Planctomycetota","Planctomycetes","Isosphaerales","Isosphaeraceae","Aquisphaera","midas_s_86135"
"e25682127fed7e6bf68fd170b99db6bd","Bacteria","Planctomycetota","Planctomycetes","Gemmatales","Gemmataceae","midas_g_6377","midas_s_6377"
"7aa7ea3c3f066dc70862b78018d61f94","Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","Pirellula",NA
"69d28532be5a2668de6ec5bebb0b8cae","Bacteria","Planctomycetota","Planctomycetes","Gemmatales","Gemmataceae","midas_g_77494","midas_s_77494"
"92e7341c24678e38909a273d64e3bb03","Bacteria","Proteobacteria","Alphaproteobacteria","Tistrellales","Geminicoccaceae","Ca_Alysiosphaera",NA
"380f2cb5da9e2293c65df29bb17773ec","Bacteria","Actinobacteriota","Actinobacteria","Corynebacteriales","Mycobacteriaceae","Mycobacterium",NA
"a148bab590097c6138f46f976deb4b4a","Bacteria","Actinobacteriota","Actinobacteria","Corynebacteriales","Mycobacteriaceae","Mycobacterium",NA
"8e9f3d755a6b95072f4e59122b86512c","Bacteria","Actinobacteriota","Actinobacteria","Corynebacteriales","Mycobacteriaceae","Mycobacterium",NA
"60e7a4fda12bac9a3aab00bfa11a98b2","Bacteria","Actinobacteriota","Actinobacteria","Corynebacteriales","Mycobacteriaceae","Mycobacterium",NA
"8ff2d55a9f07b30a3bab4744e19f75bf","Bacteria","Actinobacteriota","Actinobacteria","Corynebacteriales","Mycobacteriaceae","Mycobacterium",NA
"acac629bf3dde794966cdeca650f077a","Bacteria","Actinobacteriota","Actinobacteria","Corynebacteriales","Mycobacteriaceae","Mycobacterium",NA
"71673af6e2b5e81b9cacd310da403391","Bacteria","Actinobacteriota","Actinobacteria","Corynebacteriales","Mycobacteriaceae","Mycobacterium",NA
"e49c239b9bfe85b716cae73bd6c22ef3","Bacteria","Actinobacteriota","Actinobacteria","Corynebacteriales","Mycobacteriaceae","Mycobacterium",NA
"9f2c67fa5c1995710ec07613a6421e17","Bacteria","Actinobacteriota","Actinobacteria","Corynebacteriales","Mycobacteriaceae","Mycobacterium",NA
"db9a68c7a0e83abfa6c3e4c59abfeffb","Bacteria","Actinobacteriota","Actinobacteria","Corynebacteriales","Mycobacteriaceae","Mycobacterium",NA
"f39de623b87486eaeaeef3bb717c14e0","Bacteria","Actinobacteriota","Actinobacteria","Corynebacteriales","Nocardiaceae","Gordonia",NA
"62a5774545b071748aa3b0ae60785698","Bacteria","Actinobacteriota","Actinobacteria","Corynebacteriales","Nocardiaceae","Gordonia",NA
"5c885f449b80e3a168c82c473a003517","Bacteria","Actinobacteriota","Actinobacteria","Corynebacteriales","Nocardiaceae","Gordonia",NA
"05141e63d80b3ecda957bc3c61d81f74","Bacteria","Actinobacteriota","Actinobacteria","Corynebacteriales","Nocardiaceae","Gordonia",NA
"89affa9d95bb743371eeb421cfdf44f8","Bacteria","Actinobacteriota","Actinobacteria","Corynebacteriales","Nocardiaceae","Gordonia",NA
"7eea55823e1170437d922e273e861fa0","Bacteria","Actinobacteriota","Actinobacteria","Corynebacteriales","Nocardiaceae","Gordonia",NA
"2ce2c7959121bb838f75debc8229cb59","Bacteria","Actinobacteriota","Actinobacteria","Corynebacteriales","Nocardiaceae","Gordonia",NA
"dc0140cf3642f1bd6db12e80d7a07363","Bacteria","Actinobacteriota","Actinobacteria","Corynebacteriales","Nocardiaceae","Gordonia",NA
"8173de75f78f38a04b0d2becc5c444cc","Bacteria","Actinobacteriota","Actinobacteria","Corynebacteriales","Mycobacteriaceae","Mycobacterium",NA
"c1ffe6a714cf16aaf271827b87bc9c23","Bacteria","Deinococcota","Deinococci","Deinococcales","Deinococcaceae","midas_g_74244","midas_s_74244"
"66f031af44f2ef189be7b0033e05fe39","Bacteria","Deinococcota","Deinococci","Deinococcales","Deinococcaceae","midas_g_4572","midas_s_69125"
"ee094410e209741c2a13efc2920be61c","Bacteria","Deinococcota","Deinococci","Deinococcales","Deinococcaceae","midas_g_4572","midas_s_4572"
"228cd3bde4946fe76ea0958c7d6aab29","Bacteria","Cyanobacteria","Sericytochromatia","midas_o_1421","midas_f_1572","midas_g_1572",NA
"74521c90add3fddaa781cfd17977b9db","Bacteria","Cloacimonadota","Cloacimonadia","Cloacimonadales","Cloacimonadaceae","midas_g_246","midas_s_11828"
"10d75bce4b31e3a7c49183c07584e222","Bacteria","Gemmatimonadota","Gemmatimonadetes","Gemmatimonadales","Gemmatimonadaceae","midas_g_395","midas_s_395"
"ae779608efa4a1974e3b837f8438c688","Bacteria","Gemmatimonadota","Gemmatimonadetes","Gemmatimonadales","Gemmatimonadaceae","midas_g_764","midas_s_929"
"51b7018da839bf6602a7668b842707a3","Bacteria","Gemmatimonadota","Gemmatimonadetes","Gemmatimonadales","Gemmatimonadaceae","midas_g_764","midas_s_929"
"cf3b6fe65d89910cdddc0dfd43382664","Bacteria","Myxococcota","Myxococcia","Myxococcales","Myxococcaceae","KD3-10",NA
"09e21c6f558412dc2266c99dfe026665","Bacteria","Nitrospirota","Nitrospiria","Nitrospirales","Nitrospiraceae","Nitrospira","midas_s_21815"
"d5610b701d4c185707ebdeaacb429bb1","Bacteria","Nitrospirota","Nitrospiria","Nitrospirales","Nitrospiraceae","Nitrospira",NA
"85587286b01f9ef3dcebf4d6d7d4b66c","Bacteria","Acidobacteriota","Acidobacteriae","Bryobacterales","Bryobacteraceae","Bryobacter","midas_s_84507"
"cd0d9499a80b582879898a569e99dddb","Bacteria","Acidobacteriota","Acidobacteriae","Bryobacterales","Bryobacteraceae","Bryobacter","midas_s_25417"
"4d4ee5d2b1c25908668a8cdf7600a050","Bacteria","Acidobacteriota","Acidobacteriae","Bryobacterales","Bryobacteraceae","Bryobacter","midas_s_6438"
"48b3ac7a88f467d65a22a85fdf00c6b0","Bacteria","Acidobacteriota","Acidobacteriae","Bryobacterales","Bryobacteraceae","Bryobacter","midas_s_6438"
"bea541806a7720e029a1e4983943c15e","Bacteria","Acidobacteriota","Acidobacteriae","Paludibaculum","midas_f_675","midas_g_1988","midas_s_1988"
"b2f05a5ce10b44d4445a1055015e9f93","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Rhodocyclaceae","Thauera",NA
"79f8555ac5a87e0bb92d8ad1a98f360a","Bacteria","Actinobacteriota","Actinobacteria","Corynebacteriales","Mycobacteriaceae","Mycobacterium",NA
"bb073f2059f86cc007a61616e61e4b74","Bacteria","Actinobacteriota","Acidimicrobiia","IMCC26256","midas_f_2","midas_g_653",NA
"5b46ee8332dfb1e33debfbc029b8f3a2","Bacteria","Actinobacteriota","Actinobacteria","Propionibacteriales","Propionibacteriaceae","Propioniciclava",NA
"9269c33cb616fc52152f779e219f0e15","Bacteria","Chloroflexi","Anaerolineae","SBR1031","A4b","midas_g_18395",NA
"b6421d2e7d2a5ba42bbf898d6c6096cc","Bacteria","Chloroflexi","Anaerolineae","SBR1031","A4b","midas_g_18395","midas_s_40460"
"142fd1537221f51bf3611f6942a4395b","Bacteria","Chloroflexi","Anaerolineae","SBR1031","A4b","midas_g_18395","midas_s_40460"
"a4552fbecbdd1a7891976d5eccb28ba5","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Rhodanobacteraceae","Dokdonella",NA
"1eaf91bee54d7736565cf0f14b31fe52","Bacteria","Chloroflexi","Anaerolineae","SBR1031","A4b","midas_g_3726",NA
"9dcf0766f9416665f8ed8b63e15028c2","Bacteria","Chloroflexi","Anaerolineae","SBR1031","A4b","midas_g_3136","midas_s_3136"
"9a89ba89b3cfcb36533310019605bf27","Bacteria","Chloroflexi","Anaerolineae","SBR1031","A4b","midas_g_2842","midas_s_15683"
"5c7dc6d06a5d803ddafa57a47447eb02","Bacteria","Chloroflexi","Anaerolineae","SBR1031","A4b","midas_g_2842","midas_s_5736"
"b89a7b5fdcc4afa04d954c2f27b8cc19","Bacteria","Chloroflexi","Anaerolineae","SBR1031","A4b","midas_g_2842",NA
"d53ccc679e830d4583ee7a93f3869b7b","Bacteria","Chloroflexi","Anaerolineae","SBR1031","A4b","midas_g_2842",NA
"00de260dcd688dbcccf48969e2a46cec","Bacteria","Chloroflexi","Anaerolineae","SBR1031","A4b","midas_g_2842","midas_s_2842"
"58bf2779634bb482dac2849f6b69c4dc","Bacteria","Chloroflexi","Anaerolineae","SBR1031","A4b","midas_g_2842",NA
"42c9b8ead41cdde69cfcb2c49c101e5a","Bacteria","Chloroflexi","Anaerolineae","SBR1031","A4b","midas_g_2842",NA
"3e3be8f8261056629bf71738b5481e58","Bacteria","Chloroflexi","Anaerolineae","SBR1031","A4b","midas_g_8849","midas_s_8849"
"98b512c5d65b6e08d4dd46151b568f6b","Bacteria","Chloroflexi","Anaerolineae","SBR1031","A4b","midas_g_26123","midas_s_26123"
"1595e9f7ef210ab3c3f9d7160f322f9b","Bacteria","Chloroflexi","Anaerolineae","SBR1031","A4b","midas_g_26123","midas_s_26123"
"02368bf4938c79ae091c24a780495fac","Bacteria","Chloroflexi","Anaerolineae","SBR1031","A4b","midas_g_26123","midas_s_26123"
"8b9f5885cb7ea2eea07db13a64ca837a","Bacteria","Chloroflexi","Anaerolineae","SBR1031","A4b","midas_g_26123","midas_s_26123"
"1db8b7e380ef900656eeabefb18ba3f7","Bacteria","Chloroflexi","Anaerolineae","SBR1031","A4b","midas_g_26123","midas_s_26123"
"9017c63731a68e6bbbbe68a7b03c5098","Bacteria","Chloroflexi","Anaerolineae","SBR1031","midas_f_12777","midas_g_16660",NA
"78292cdd11c04c1d3701f1effea05c94","Bacteria","Chloroflexi","Anaerolineae","SBR1031","midas_f_12777","midas_g_21647","midas_s_26550"
"859c65de668a7d893322a193b06e432b","Bacteria","Chloroflexi","Anaerolineae","SBR1031","midas_f_119","midas_g_119",NA
"79ac96546ee5f93c73e9e111491a5d30","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Rhodocyclaceae","Sulfuritalea",NA
"674c80a33e3c01df163e3c4a48fbd8fa","Bacteria","Firmicutes","Bacilli","Erysipelotrichales","Erysipelotrichaceae","Holdemanella","Holdemanella_biformis"
"ebf61ede654f305596908efa9a8ddf54","Bacteria","Firmicutes","Bacilli","Erysipelotrichales","Erysipelatoclostridiaceae","Erysipelotrichaceae_UCG-003","midas_s_14500"
